force (kg),x_mag,y_mag,z_mag,,,,,
0.295,0.002161817,0.001664948,-0.000523375,,0.6962,,,
0.3,0.001109838,0.00179998,-0.000824166,,0.708,,,
0.305,0.001833074,0.001529915,-0.001124956,,0.7198,,,
0.31,0.002293314,0.002070045,-0.000623639,,0.7316,,,
0.315,0.001372833,0.001664948,-0.000322848,,0.7434,,,
0.32,0.001372833,0.002205077,-0.00152601,,0.7552,,,
0.325,0.00249056,0.002070045,-0.000723902,,0.767,,,
0.33,0.001833074,0.001664948,-0.000122321,,0.7788,,,
0.335,0.001701576,0.002340109,-0.000824166,,0.7906,,,
0.34,0.001898822,0.00179998,-0.001325483,,0.8024,,,
0.345,0.002753555,0.002205077,-0.001425747,,0.8142,,,
0.35,0.00150433,0.002340109,-0.001124956,,0.826,,,
0.355,0.001570079,0.002340109,-0.000723902,,0.8378,,,
0.36,0.001570079,0.002340109,-0.000723902,,0.8496,,,
0.365,0.002096068,0.002475141,-0.001325483,,0.8614,,,
0.37,0.002096068,0.002610174,-0.000824166,,0.8732,,,
0.375,0.002950801,0.002610174,-0.000824166,,0.885,,,
0.38,0.002950801,0.002610174,-0.000122321,,0.8968,,,
0.385,0.002753555,0.002610174,-0.000122321,,0.9086,,,
0.39,0.002753555,0.002610174,-0.000122321,,0.9204,,,
0.395,0.002753555,0.002745206,7.82E-05,,0.9322,,,
0.4,0.002687806,0.002745206,7.82E-05,,0.944,,,
0.405,0.003345293,0.00301527,-0.000322848,,0.9558,,,
0.41,0.003345293,0.00301527,-0.000322848,,0.9676,,,
0.415,0.003345293,0.00301527,-0.000322848,,0.9794,,,
0.42,0.003345293,0.003690432,-0.000322848,,0.9912,,,
0.425,0.002885053,0.00301527,-2.21E-05,,1.003,,,
0.43,0.003674037,0.003150303,-0.000222585,,1.0148,,,
0.435,0.003345293,0.003150303,-0.000222585,,1.0266,,,
0.44,0.003345293,0.003150303,-0.000222585,,1.0384,,,
0.445,0.003345293,0.003150303,-0.000222585,,1.0502,,,
0.45,0.003345293,0.003150303,-0.000222585,,1.062,,,
0.455,0.003345293,0.003150303,-0.000222585,,1.0738,,,
0.46,0.003345293,0.003150303,-0.000222585,,1.0856,,,
0.465,0.003345293,0.003150303,-0.000222585,,1.0974,,,
0.47,0.003345293,0.003150303,-0.000222585,,1.1092,,,
0.475,0.001175587,0.001259851,-0.000122321,,1.121,,,
0.48,-0.009475701,0.003960496,-0.000924429,,1.1328,,,
0.485,0.00952567,0.013547786,-0.000924429,,1.1446,,,
0.49,0.011300885,0.008011464,-0.0018268,,1.1564,,,
0.495,0.010446152,0.010847141,-0.001124956,,1.1682,,,
0.5,0.010183157,0.008011464,-0.0018268,,1.18,,,
0.505,0.010117409,0.009766883,-0.001425747,,1.1918,,,
0.51,0.011169388,0.009361786,-0.00152601,,1.2036,,,
0.515,0.00952567,0.008821657,-0.00122522,,1.2154,,,
0.52,0.011695377,0.009226754,-0.00152601,,1.2272,,,
0.525,0.01103789,0.008551593,-0.001626274,,1.239,,,
0.53,0.012287115,0.009901915,-0.001726537,,1.2508,,,
0.535,0.009591419,0.010982174,-0.001425747,,1.2626,,,
0.54,0.008802435,0.010036948,-0.001927064,,1.2744,,,
0.545,0.008473691,0.00720127,-0.001626274,,1.2862,,,
0.55,0.006961471,0.011117206,-0.001425747,,1.298,,,
0.555,0.013536341,0.010036948,-0.0018268,,1.3098,,,
0.56,0.00801345,0.008686625,-0.001726537,,1.3216,,,
0.565,0.010709147,0.009766883,-0.001024693,,1.3334,,,
0.57,0.006698477,0.006661141,-0.000924429,,1.3452,,,
0.575,0.005646498,0.006796174,-0.001626274,,1.357,,,
0.58,0.004594519,0.005715915,-0.000824166,,1.3688,,,
0.585,0.006829974,0.004230561,-0.001124956,,1.3806,,,
0.59,0.004857513,0.006391077,-0.00122522,,1.3924,,,
0.595,0.006106738,0.00598598,-0.000924429,,1.4042,,,
0.6,0.006566979,0.006121012,-0.000924429,,1.416,,,
0.605,0.005317754,0.00598598,-0.001726537,,1.4278,,,
0.61,0.005317754,0.00598598,-0.001726537,,1.4396,,,
0.615,0.006501231,0.006796174,-0.000623639,,1.4514,,,
0.62,0.006566979,0.00720127,-0.0018268,,1.4632,,,
0.625,0.007355964,0.007606367,-0.000623639,,1.475,,,
0.63,0.007355964,0.007606367,-0.000623639,,1.4868,,,
0.635,0.007487461,0.006526109,-0.000623639,,1.4986,,,
0.64,0.007092969,0.008281528,-0.0018268,,1.5104,,,
0.645,0.008079199,0.00720127,-0.000723902,,1.5222,,,
0.65,0.006961471,0.007741399,-0.001325483,,1.534,,,
0.655,0.006961471,0.007741399,-0.001325483,,1.5458,,,
0.66,0.006961471,0.007741399,-0.001325483,,1.5576,,,
0.665,0.00801345,0.006796174,-0.0018268,,1.5694,,,
0.67,0.00801345,0.006796174,-0.0018268,,1.5812,,,
0.675,0.00801345,0.006796174,-0.0018268,,1.593,,,
0.68,0.007816204,0.007606367,-0.000222585,,1.6048,,,
0.685,0.007816204,0.007606367,-0.000222585,,1.6166,,,
0.69,0.007816204,0.007606367,-0.000222585,,1.6284,,,
0.695,0.00906543,0.00720127,-0.001024693,,1.6402,,,
0.7,0.00906543,0.00720127,-0.001024693,,1.652,,,
0.705,0.009394173,0.00720127,-0.000723902,,1.6638,,,
0.71,0.009394173,0.00720127,-0.000723902,,1.6756,,,
0.715,0.009394173,0.00720127,-0.000723902,,1.6874,,,
0.72,0.009394173,0.00720127,-0.000723902,,1.6992,,,
0.725,0.008933932,0.009091722,-0.000723902,,1.711,,,
0.73,0.008933932,0.009091722,-0.001626274,,1.7228,,,
0.735,0.008736686,0.008551593,-0.001626274,,1.7346,,,
0.74,0.009459922,0.008821657,-0.001024693,,1.7464,,,
0.745,0.008736686,0.009496819,-0.001726537,,1.7582,,,
0.75,0.008736686,0.009496819,-0.001726537,,1.77,,,
0.755,0.008736686,0.009496819,-0.001726537,,1.7818,,,
0.76,0.008736686,0.009766883,-0.0018268,,1.7936,,,
0.765,0.009328424,0.009631851,-0.002027327,,1.8054,,,
0.77,0.009328424,0.009631851,-0.002027327,,1.8172,,,
0.775,0.009328424,0.009631851,-0.002027327,,1.829,,,
0.78,0.009328424,0.009631851,-0.002027327,,1.8408,,,
0.785,0.009328424,0.009631851,-0.002027327,,1.8526,,,
0.79,0.009328424,0.009631851,-0.002027327,,1.8644,,,
0.795,0.010972142,0.010442045,-0.001325483,,1.8762,,,
0.8,0.010972142,0.010442045,-0.001325483,,1.888,,,
0.805,0.010577649,0.010982174,-0.002127591,,1.8998,,,
0.81,0.010577649,0.010982174,-0.002127591,,1.9116,,,
0.815,0.01156388,0.010577077,-0.000924429,,1.9234,,,
0.82,0.01156388,0.010577077,-0.000924429,,1.9352,,,
0.825,0.011366634,0.010847141,-0.00122522,,1.947,,,
0.83,0.011366634,0.010847141,-0.00122522,,1.9588,,,
0.835,0.011366634,0.010847141,-0.00122522,,1.9706,,,
0.84,0.011366634,0.010847141,-0.00122522,,1.9824,,,
0.845,0.011366634,0.010847141,-0.00122522,,1.9942,,,
0.85,0.012089869,0.010847141,-0.00152601,,2.006,,,
0.855,0.012089869,0.010847141,-0.00152601,,2.0178,,,
0.86,0.012089869,0.010847141,-0.00152601,,2.0296,,,
0.865,0.012418613,0.011657335,-0.001927064,,2.0414,,,
0.87,0.012681608,0.012602561,-0.001626274,,2.0532,,,
0.875,0.013141848,0.012872625,-0.001124956,,2.065,,,
0.88,0.013207597,0.011792367,-0.00122522,,2.0768,,,
0.885,0.012681608,0.013412754,-0.0018268,,2.0886,,,
0.89,0.012221367,0.013277722,-0.001927064,,2.1004,,,
0.895,0.012878854,0.013547786,-0.002428381,,2.1122,,,
0.9,0.012944602,0.013952883,-0.002428381,,2.124,,,
0.905,0.014654068,0.013277722,-0.001726537,,2.1358,,,
0.91,0.013602089,0.013547786,-0.0018268,,2.1476,,,
0.915,0.014325325,0.012737593,-0.001425747,,2.1594,,,
0.92,0.014719817,0.012737593,-0.001425747,,2.1712,,,
0.925,0.01458832,0.012872625,-0.001425747,,2.183,,,
0.93,0.013996581,0.012737593,-0.00122522,,2.1948,,,
0.935,0.013273346,0.015303206,-0.0018268,,2.2066,,,
0.94,0.014456822,0.012872625,-0.00152601,,2.2184,,,
0.945,0.014654068,0.014087915,-0.002227854,,2.2302,,,
0.95,0.014719817,0.014087915,-0.002328118,,2.242,,,
0.955,0.014654068,0.013412754,-0.002328118,,2.2538,,,
0.96,0.014719817,0.015978367,-0.002628908,,2.2656,,,
0.965,0.015969042,0.014763077,-0.002227854,,2.2774,,,
0.97,0.01458832,0.015978367,-0.002428381,,2.2892,,,
0.975,0.015771796,0.013682819,-0.002628908,,2.301,,,
0.98,0.016429283,0.014763077,-0.002127591,,2.3128,,,
0.985,0.016758026,0.015033141,-0.002528645,,2.3246,,,
0.99,0.016034791,0.015168174,-0.002027327,,2.3364,,,
0.995,0.01708677,0.015438238,-0.002227854,,2.3482,,,
1,0.016232037,0.016653528,-0.002227854,,2.36,,,
0,0,0,0,,0,-0.000270885,-0.000900665,0.00078005
-0.005,0,0,0,,-0.0091,-0.000270885,-0.000900665,0.00078005
-0.01,0,0,0,,-0.0182,-0.000270885,-0.000900665,0.00078005
-0.015,0,0,0,,-0.0273,-0.000270885,-0.000900665,0.00078005
-0.02,0,0,0,,-0.0364,-0.000270885,-0.000900665,0.00078005
-0.025,0,0,0,,-0.0455,-0.000270885,-0.000900665,0.00078005
-0.03,0.00052599,-0.000135032,0.000601581,,-0.0546,0.000255105,-0.001035697,0.001381631
-0.035,0,0.000540129,-0.000401054,,-0.0637,-0.000270885,-0.000360536,0.000378996
-0.04,0,0.000540129,-0.000401054,,-0.0728,-0.000270885,-0.000360536,0.000378996
-0.045,0.000262995,0.000135032,-0.000401054,,-0.0819,-7.89E-06,-0.000765633,0.000378996
-0.05,0.000262995,0.000135032,-0.000401054,,-0.091,-7.89E-06,-0.000765633,0.000378996
-0.055,0.000262995,0.000135032,-0.000401054,,-0.1001,-7.89E-06,-0.000765633,0.000378996
-0.06,0.000262995,0.000135032,-0.000401054,,-0.1092,-7.89E-06,-0.000765633,0.000378996
-0.065,0.000262995,0.000135032,0.000401054,,-0.1183,-7.89E-06,-0.000765633,0.001181104
-0.07,0.000262995,0.000405097,0.000401054,,-0.1274,-7.89E-06,-0.000495568,0.001181104
-0.075,0.000262995,0.000405097,0.000401054,,-0.1365,-7.89E-06,-0.000495568,0.001181104
-0.08,0.000262995,0.000405097,0.000401054,,-0.1456,-7.89E-06,-0.000495568,0.001181104
-0.085,0.000262995,0.000405097,0.000401054,,-0.1547,-7.89E-06,-0.000495568,0.001181104
-0.09,0.000262995,0.000405097,0.000401054,,-0.1638,-7.89E-06,-0.000495568,0.001181104
-0.095,0.001051979,-0.000135032,0.000902371,,-0.1729,0.000781094,-0.001035697,0.001682421
-0.1,0.001051979,-0.000135032,0.000902371,,-0.182,0.000781094,-0.001035697,0.001682421
-0.105,0.001051979,-0.000135032,0.000902371,,-0.1911,0.000781094,-0.001035697,0.001682421
-0.11,0.001051979,-0.000135032,0.000902371,,-0.2002,0.000781094,-0.001035697,0.001682421
-0.115,0.001051979,-0.000135032,0.000902371,,-0.2093,0.000781094,-0.001035697,0.001682421
-0.12,0.000920482,0.000270064,-0.000300791,,-0.2184,0.000649597,-0.000630601,0.000479259
-0.125,0.000788985,0.000135032,0.000601581,,-0.2275,0.0005181,-0.000765633,0.001381631
-0.13,0.000788985,0.000135032,0.000601581,,-0.2366,0.0005181,-0.000765633,0.001381631
-0.135,0.001314974,0.000135032,0.00030079,,-0.2457,0.001044089,-0.000765633,0.00108084
-0.14,0.001314974,0.000135032,0.00030079,,-0.2548,0.001044089,-0.000765633,0.00108084
-0.145,0.001314974,0.000135032,0.00030079,,-0.2639,0.001044089,-0.000765633,0.00108084
-0.15,0.001051979,0.000270064,0.000601581,,-0.273,0.000781094,-0.000630601,0.001381631
-0.155,0.001051979,0.000270064,0.000601581,,-0.2821,0.000781094,-0.000630601,0.001381631
-0.16,0.001051979,0.000270064,0.000601581,,-0.2912,0.000781094,-0.000630601,0.001381631
-0.165,0.001051979,0.000270064,0.000601581,,-0.3003,0.000781094,-0.000630601,0.001381631
-0.17,0.001051979,0.000270064,0.000601581,,-0.3094,0.000781094,-0.000630601,0.001381631
-0.175,0.001051979,0.000270064,0.000601581,,-0.3185,0.000781094,-0.000630601,0.001381631
-0.18,0.000920482,0.000540129,-0.000401054,,-0.3276,0.000649597,-0.000360536,0.000378996
-0.185,0.00151222,0.000810165,0,,-0.3367,0.001241335,-9.05E-05,0.00078005
-0.19,0.001577969,0.000405097,0.00030079,,-0.3458,0.001307084,-0.000495568,0.00108084
-0.195,0.000986231,0.000810165,-0.000300791,,-0.3549,0.000715346,-9.05E-05,0.000479259
-0.2,0.001775215,0.000270064,0.000100263,,-0.364,0.00150433,-0.000630601,0.000880313
-0.205,0.001775215,0.000270064,0.000100263,,-0.3731,0.00150433,-0.000630601,0.000880313
-0.21,0.001380723,0.000810165,0.000501317,,-0.3822,0.001109838,-9.05E-05,0.001281367
-0.215,0.001840964,0.000540129,0.000501317,,-0.3913,0.001570079,-0.000360536,0.001281367
-0.22,0.001840964,0.000405097,0.000100263,,-0.4004,0.001570079,-0.000495568,0.000880313
-0.225,0.001643718,0.000810165,-0.000200527,,-0.4095,0.001372833,-9.05E-05,0.000579523
-0.23,0.001380723,0.00121529,-0.000501318,,-0.4186,0.001109838,0.000314625,0.000278732
-0.235,0.001840964,0.000945265,0.000200527,,-0.4277,0.001570079,4.46E-05,0.000980577
-0.24,0.001906712,0.001080258,0.000401054,,-0.4368,0.001635827,0.000179593,0.001181104
-0.245,0.001643718,0.000945265,-0.00070185,,-0.4459,0.001372833,4.46E-05,7.82E-05
-0.25,0.001577969,0.001620387,-0.000501318,,-0.455,0.001307084,0.000719722,0.000278732
-0.255,0.00151222,0.001350322,-0.000401054,,-0.4641,0.001241335,0.000449657,0.000378996
-0.26,0.001577969,0.001350322,-0.000100264,,-0.4732,0.001307084,0.000449657,0.000679786
-0.265,0.001972461,0.00121529,0.000401054,,-0.4823,0.001701576,0.000314625,0.001181104
-0.27,0.001972461,0.00121529,0.000401054,,-0.4914,0.001701576,0.000314625,0.001181104
-0.275,0.002103959,0.00121529,0.000200527,,-0.5005,0.001833074,0.000314625,0.000980577
-0.28,0.001577969,0.001080258,0.000100263,,-0.5096,0.001307084,0.000179593,0.000880313
-0.285,0.002498451,0.001485355,0.000100263,,-0.5187,0.002227566,0.00058469,0.000880313
-0.29,0.002827194,0.00121529,0.000100263,,-0.5278,0.002556309,0.000314625,0.000880313
-0.295,0.002827194,0.00121529,0.000100263,,-0.5369,0.002556309,0.000314625,0.000880313
-0.3,0.002827194,0.002025484,-0.000300791,,-0.546,0.002556309,0.001124819,0.000479259
-0.305,0.001840964,0.002025484,-0.000300791,,-0.5551,0.001570079,0.001124819,0.000479259
-0.31,0.001840964,0.002025484,-0.000300791,,-0.5642,0.001570079,0.001124819,0.000479259
-0.315,0.002366953,0.001890451,0.000601581,,-0.5733,0.002096068,0.000989786,0.001381631
-0.32,0.002366953,0.001890451,0.000601581,,-0.5824,0.002096068,0.000989786,0.001381631
-0.325,0.002235456,0.001755419,-0.00070185,,-0.5915,0.001964571,0.000854754,7.82E-05
-0.33,0.002629948,0.001485355,-0.000501318,,-0.6006,0.002359063,0.00058469,0.000278732
-0.335,0.002892943,0.001620387,0.000501317,,-0.6097,0.002622058,0.000719722,0.001281367
-0.34,0.002564199,0.002295548,-0.000300791,,-0.6188,0.002293314,0.001394883,0.000479259
-0.345,0.002958691,0.002025484,-0.000501318,,-0.6279,0.002687806,0.001124819,0.000278732
-0.35,0.003155938,0.00243058,0.000200527,,-0.637,0.002885053,0.001529915,0.000980577
-0.355,0.004010671,0.00243058,0.000200527,,-0.6461,0.003739786,0.001529915,0.000980577
-0.36,0.004010671,0.00243058,0.000200527,,-0.6552,0.003739786,0.001529915,0.000980577
-0.365,0.002892943,0.001755419,0.000601581,,-0.6643,0.002622058,0.000854754,0.001381631
-0.37,0.002892943,0.001755419,0.000601581,,-0.6734,0.002622058,0.000854754,0.001381631
-0.375,0.002892943,0.002295548,-0.000601581,,-0.6825,0.002622058,0.001394883,0.000178469
-0.38,0.002827194,0.00297071,-0.000501318,,-0.6916,0.002556309,0.002070045,0.000278732
-0.385,0.002827194,0.00297071,-0.000501318,,-0.7007,0.002556309,0.002070045,0.000278732
-0.39,0.002827194,0.00297071,-0.000501318,,-0.7098,0.002556309,0.002070045,0.000278732
-0.395,0.003944922,0.002835677,0.000601581,,-0.7189,0.003674037,0.001935012,0.001381631
-0.4,0.004207917,0.002835677,-0.000300791,,-0.728,0.003937032,0.001935012,0.000479259
-0.405,0.003681927,0.003375806,-0.00080215,,-0.7371,0.003411042,0.002475141,-2.21E-05
-0.41,0.007298105,0.004996193,-0.000200527,,-0.7462,0.00702722,0.004095528,0.000579523
-0.415,0.004733906,0.00958729,-0.00080215,,-0.7553,0.004463021,0.008686625,-2.21E-05
-0.42,0.004733906,0.00958729,-0.00080215,,-0.7644,0.004463021,0.008686625,-2.21E-05
-0.425,0.01058554,0.00540129,-0.000300791,,-0.7735,0.010314655,0.004500625,0.000479259
-0.43,0.01058554,0.00540129,-0.000601581,,-0.7826,0.010314655,0.004500625,0.000178469
-0.435,0.009204817,0.008642064,-0.001102898,,-0.7917,0.008933932,0.007741399,-0.000322848
-0.44,0.009204817,0.008642064,-0.001102898,,-0.8008,0.008933932,0.007741399,-0.000322848
-0.445,0.011900513,0.005671355,-0.000100264,,-0.8099,0.011629628,0.00477069,0.000679786
-0.45,0.011900513,0.005671355,-0.000200527,,-0.819,0.011629628,0.00477069,0.000579523
-0.455,0.006114629,0.010937613,-0.000200527,,-0.8281,0.005843744,0.010036948,0.000579523
-0.46,0.006114629,0.010937613,-0.000200527,,-0.8372,0.005843744,0.010036948,0.000579523
-0.465,0.006114629,0.010937613,-0.000200527,,-0.8463,0.005843744,0.010036948,0.000579523
-0.47,0.006114629,0.010937613,-0.000200527,,-0.8554,0.005843744,0.010036948,0.000579523
-0.475,0.013215487,0.008507032,-0.000200527,,-0.8645,0.012944602,0.007606367,0.000579523
-0.48,0.012558,0.005806387,-0.000300791,,-0.8736,0.012287115,0.004905722,0.000479259
-0.485,0.012558,0.005806387,-0.000300791,,-0.8827,0.012287115,0.004905722,0.000479259
-0.49,0.010519791,0.008777097,-0.001403689,,-0.8918,0.010248906,0.007876432,-0.000623639
-0.495,0.010519791,0.012422968,0,,-0.9009,0.010248906,0.011522303,0.00078005
-0.5,0.0075611,0.012422968,0,,-0.91,0.007290215,0.011522303,0.00078005
-0.505,0.013149739,0.009722322,-0.000300791,,-0.9191,0.012878854,0.008821657,0.000479259
-0.51,0.013149739,0.009722322,-0.000300791,,-0.9282,0.012878854,0.008821657,0.000479259
-0.515,0.008021341,0.012828064,0,,-0.9373,0.007750456,0.011927399,0.00078005
-0.52,0.007824095,0.013233161,-0.00070185,,-0.9464,0.00755321,0.012332496,7.82E-05
-0.525,0.007824095,0.013233161,-0.00070185,,-0.9555,0.00755321,0.012332496,7.82E-05
-0.53,0.01209776,0.007696839,-0.000902371,,-0.9646,0.011826875,0.006796174,-0.000122321
-0.535,0.01209776,0.007696839,-0.000902371,,-0.9737,0.011826875,0.006796174,-0.000122321
-0.54,0.01209776,0.007696839,-0.000902371,,-0.9828,0.011826875,0.006796174,-0.000122321
-0.545,0.012295006,0.009182193,-0.001203162,,-0.9919,0.012024121,0.008281528,-0.000423112
-0.55,0.010322545,0.010127419,-0.001102898,,-1.001,0.01005166,0.009226754,-0.000322848
-0.555,0.011703267,0.00958729,-0.000300791,,-1.0101,0.011432382,0.008686625,0.000479259
-0.56,0.011703267,0.00958729,-0.000300791,,-1.0192,0.011432382,0.008686625,0.000479259
-0.565,0.013215487,0.011072645,-0.000501318,,-1.0283,0.012944602,0.01017198,0.000278732
-0.57,0.010782786,0.009992387,-0.000601581,,-1.0374,0.010511901,0.009091722,0.000178469
-0.575,0.006640618,0.005266258,-0.000401054,,-1.0465,0.006369733,0.004365593,0.000378996
-0.58,0.006443372,0.005536322,-0.000401054,,-1.0556,0.006172487,0.004635657,0.000378996
-0.585,0.007232356,0.006481548,-0.000501318,,-1.0647,0.006961471,0.005580883,0.000278732
-0.59,0.007889843,0.005266258,-0.001002635,,-1.0738,0.007618958,0.004365593,-0.000222585
-0.595,0.007889843,0.005266258,-0.001002635,,-1.0829,0.007618958,0.004365593,-0.000222585
-0.6,0.006903613,0.007831871,-0.000601581,,-1.092,0.006632728,0.006931206,0.000178469
-0.605,0.00703511,0.006481548,-0.000601581,,-1.1011,0.006764225,0.005580883,0.000178469
-0.61,0.007298105,0.006076451,-0.001102898,,-1.1102,0.00702722,0.005175786,-0.000322848
-0.615,0.008021341,0.007021677,0.000100263,,-1.1193,0.007750456,0.006121012,0.000880313
-0.62,0.006114629,0.006076451,-0.000100264,,-1.1284,0.005843744,0.005175786,0.000679786
-0.625,0.007495351,0.005536322,-0.001002635,,-1.1375,0.007224466,0.004635657,-0.000222585
-0.63,0.007363854,0.00661658,-0.000100264,,-1.1466,0.007092969,0.005715915,0.000679786
-0.635,0.006837864,0.006751613,-0.000300791,,-1.1557,0.006566979,0.005850948,0.000479259
-0.64,0.009730807,0.00661658,-0.000200527,,-1.1648,0.009459922,0.005715915,0.000579523
-0.645,0.009730807,0.00661658,-0.000200527,,-1.1739,0.009459922,0.005715915,0.000579523
-0.65,0.008021341,0.00715671,-0.000501318,,-1.183,0.007750456,0.006256045,0.000278732
-0.655,0.008350084,0.006751613,-0.000200527,,-1.1921,0.008079199,0.005850948,0.000579523
-0.66,0.007889843,0.008912129,-0.001203162,,-1.2012,0.007618958,0.008011464,-0.000423112
-0.665,0.008218587,0.008236968,-0.000902371,,-1.2103,0.007947702,0.007336303,-0.000122321
-0.67,0.007298105,0.007831871,-0.000601581,,-1.2194,0.00702722,0.006931206,0.000178469
-0.675,0.010191048,0.00661658,0,,-1.2285,0.009920163,0.005715915,0.00078005
-0.68,0.010125299,0.006751613,-0.000300791,,-1.2376,0.009854414,0.005850948,0.000479259
-0.685,0.008218587,0.007426774,-0.000401054,,-1.2467,0.007947702,0.006526109,0.000378996
-0.69,0.008744576,0.007021677,-0.000300791,,-1.2558,0.008473691,0.006121012,0.000479259
-0.695,0.009730807,0.007291742,-0.001203162,,-1.2649,0.009459922,0.006391077,-0.000423112
-0.7,0.009796555,0.007696839,-0.00080215,,-1.274,0.00952567,0.006796174,-2.21E-05
-0.705,0.009993801,0.00661658,-0.001002635,,-1.2831,0.009722916,0.005715915,-0.000222585
-0.71,0.009862304,0.008777097,-0.000401054,,-1.2922,0.009591419,0.007876432,0.000378996
-0.715,0.008613079,0.007966903,-0.000300791,,-1.3013,0.008342194,0.007066238,0.000479259
-0.72,0.009533561,0.008507032,-0.000100264,,-1.3104,0.009262676,0.007606367,0.000679786
-0.725,0.010519791,0.007561806,-0.000300791,,-1.3195,0.010248906,0.006661141,0.000479259
-0.73,0.009270566,0.008777097,-0.001203162,,-1.3286,0.008999681,0.007876432,-0.000423112
-0.735,0.010322545,0.008236968,-0.000601581,,-1.3377,0.01005166,0.007336303,0.000178469
-0.74,0.009599309,0.009317226,-0.00080215,,-1.3468,0.009328424,0.008416561,-2.21E-05
-0.745,0.009599309,0.009317226,-0.00080215,,-1.3559,0.009328424,0.008416561,-2.21E-05
-0.75,0.009599309,0.008777097,-0.001503952,,-1.365,0.009328424,0.007876432,-0.000723902
-0.755,0.010191048,0.009722322,-0.000902371,,-1.3741,0.009920163,0.008821657,-0.000122321
-0.76,0.010191048,0.009722322,-0.000902371,,-1.3832,0.009920163,0.008821657,-0.000122321
-0.765,0.010454042,0.01080258,-0.001002635,,-1.3923,0.010183157,0.009901915,-0.000222585
-0.77,0.011440273,0.009722322,-0.000300791,,-1.4014,0.011169388,0.008821657,0.000479259
